SEGMENT_ID,COMPONENT_NAME,SOURCE_LABEL,ORIGINAL_SOURCE,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT_OR_MODEL,SCALING_NOTE,PRIORITY,IS_OBSERVED,IS_MODEL,IS_RECONSTRUCTED,IS_BRIDGE,IS_PHOTOSPHERE,IS_HYBRID,COMPONENT_NOTE
1,XMM/EPIC-pn 1T APEC,XMM 1T APEC,XMM 1T APEC,0.5234870914428472,12.235323551246884,120,model_fit_to_observation,XMM/EPIC-pn + APEC,Unabsorbed 1T APEC model surface flux fitted to the XMM/EPIC-pn spectrum.,1,False,True,False,False,False,False,
2,Namekata/Sanz,Namekata final scaled,Namekata final scaled,12.5,114.5,3880,semiempirical_reconstruction,Namekata 2023 + Sanz-Forcada relation,Namekata/Sanz segment normalized so L_EUV(12.4-91.2 nm) matches the XMM-derived Sanz luminosity.,2,False,True,True,False,False,False,
3,HST/COS,HST/COS,Observed/Gaia/PHOENIX hybrid,115.000075,208.981545,36756,direct_observation,HST/COS,HST observed spectral segment used from the low-energy stitch.,3,True,False,False,False,False,False,Detailed interval from low-energy coverage table.
4,Gaia XP,Observed/Gaia/PHOENIX hybrid,Observed/Gaia/PHOENIX hybrid,208.989541,208.989541,1,direct_observation,Gaia XP,Gaia XP sampled optical spectrophotometry / anchor region.,5,True,False,False,False,False,False,Residual observed/hybrid interval not covered by detailed interval map.
5,IUE/LWP+LWR,IUE/LWP+LWR,Observed/Gaia/PHOENIX hybrid,209.138678,227.287152,69,observed_gapfill_bridge,IUE/LWP+LWR,IUE ultraviolet bridge/gap-fill segment from the low-energy stitch.,4,True,False,False,True,False,False,Detailed interval from low-energy coverage table.
6,HST/STIS E230,HST/STIS E230,Observed/Gaia/PHOENIX hybrid,227.505048,311.961783,33108,direct_observation,HST/STIS E230,HST observed spectral segment used from the low-energy stitch.,3,True,False,False,False,False,False,Detailed interval from low-energy coverage table.
7,HST/STIS G430,HST/STIS G430,Observed/Gaia/PHOENIX hybrid,312.032763,569.422394,938,direct_observation,HST/STIS G430,HST observed spectral segment used from the low-energy stitch.,3,True,False,False,False,False,False,Detailed interval from low-energy coverage table.
8,HST/STIS G750,HST/STIS G750,Observed/Gaia/PHOENIX hybrid,569.69709,649.846655,166,direct_observation,HST/STIS G750,HST observed spectral segment used from the low-energy stitch.,3,True,False,False,False,False,False,"Fallback label for trusted blue STIS/G750 interval, 560--650 nm."
9,Gaia XP,Gaia XP,Observed/Gaia/PHOENIX hybrid,650.0,948.0,150,direct_observation,Gaia XP,Gaia XP sampled optical spectrophotometry / anchor region.,5,True,False,False,False,False,False,Detailed interval from low-energy coverage table.
10,PHOENIX,PHOENIX,Observed/Gaia/PHOENIX hybrid,950.0,5000.0,51703,photosphere_model,PHOENIX,PHOENIX photospheric model extension from the low-energy stitch.,6,False,True,False,False,True,False,Fallback label for residual long-wavelength photospheric tail.
